id;apt_price;neighborhood;zone;condominium_fees;square meter;rooms;parking_spaces;floor;furniture;age;balcony;windowpane;recreation_area
1000;300000;Cambuci;Centro;350;37;1;1;17;7;new;very-large-balcony;10,1;complete
1001;320000;Cambuci;Centro;396;39;1;1;11;10;new;very-large-balcony;10,1;complete
1002;308000;Cambuci;Centro;396;41;1;1;18;8;new;big-balcony;9;complete
1003;315000;Brás;Centro;600;33;1;1;17;10;new;very-large-balcony;9;complete
1004;330000;Brás;Centro;320;38;1;1;13;10;new;very-large-balcony;9;medium
1005;310000;Cambuci;Centro;350;35;1;1;14;3;new;big-balcony;9;complete
1006;310000;Belenzinho;Leste;500;38;1;1;5;5;new;big-balcony;9;complete
1007;339000;Cambuci;Centro;290;35;1;0;17;10,1;new;very-large-balcony;10,1;medium
1008;320000;Catumbi;Norte;335;32;1;1;13;10;new;very-large-balcony;9;basic
1009;320000;Belenzinho;Leste;335;32;1;1;13;9;new;big-balcony;10,1;basic
1010;335000;Mooca;Leste;235;34;1;0;5;9;new;big-balcony;10,1;complete
1011;300000;Ipiranga;Sul;520;31;2;0;8;10;new;medium-balcony;9;complete
1012;290000;Vl Guilherme;Norte;350;39;2;0;9;7,5;new;medium-balcony;8;complete
1013;320000;Cambuci;Centro;337;35;1;0;3;9;new;very-large-balcony;10;medium
1014;245000;Brás;Centro;426;29;1;0;13;6;new;big-balcony;10,1;complete
1015;330000;Qta Paineira;Leste;387;52;2;1;2;10,1;semi-new;medium-balcony;3;medium
1016;270000;Cambuci;Centro;330;36;1;0;5;6,5;new;big-balcony;10,1;medium
1017;310000;Catumbi;Norte;300;33;1;0;1;9;new;big-balcony;9;complete
1018;275000;Belenzinho;Leste;300;32;1;0;9;7;new;big-balcony;10;medium
1019;275000;Catumbi;Norte;300;32,1;1;0;10;7;new;big-balcony;9;medium
1020;285000;Cambuci;Centro;340;38;1;0;9;3;new;big-balcony;10,1;medium
1021;245000;Brás;Centro;365;28;1;0;9;8;new;medium-balcony;7;complete
1022;320000;Cambuci;Centro;360;35;1;0;9;6;new;big-balcony;10;medium
1023;275000;Catumbi;Norte;300;32;1;0;1;4;new;big-balcony;10;complete
1024;320200;Vila Andrade;Sul;300;44;1;1;4;2;new;big-balcony;0,1;complete
1025;305000;Cambuci;Centro;350;37;1;0;5;5;new;big-balcony;9;medium
1026;310000;Vl Prudente;Leste;520;33;1;0;5;7;new;big-balcony;9;complete
1027;235000;Catumbi;Norte;385;33;1;0;5;9,5;new;medium-balcony;0,1;complete
1028;290000;Vl Mazzei;Norte;210;28;1;1;13;6;new;no-balcony;0,1;complete
